Euclid_ID,DES_ID,DDLR,HOST_DDLR,right_ascension,declination,HOST_RA,HOST_DEC,SN_RA,SN_DEC
-515587113281348843,1261259,0.7391074545569177,0.506,51.55871131095624,-28.134884350283546,51.558685,-28.13479,51.558544,-28.134834
-516473284280214781,1313057,0.1380641739008599,0.29,51.64732842925356,-28.021478180218647,51.647289,-28.021437,51.647163,-28.021414
-516721809283234980,1309215,2.9230637135642006,1.29,51.67218090862801,-28.32349809859117,51.672451,-28.323631,51.672638,-28.323961
-517943021283192522,1655086,1.4786242010896624,0.885,51.79430216713584,-28.31925221851016,51.794254,-28.319195,51.794292,-28.319025
-529548270283234524,1936125,1.3344956365789482,0.372,52.95482700598207,-28.32345244517978,52.9548,-28.323393,52.954872,-28.32342
-533676661286933317,1263785,0.421227316040843,0.096,53.367666139134414,-28.6933317554475,53.367622,-28.693291,53.367607,-28.693276
-533306142284574684,1262231,0.6765130793838056,0.262,53.330614270928,-28.457468492285795,53.33057,-28.457417,53.330566,-28.457361
-540468109297877444,1249805,0.5164715009493607,0.26,54.04681090712544,-29.787744455556663,54.046764,-29.787718,54.046745,-29.787649
-533237488287247584,1339609,0.0639677673064962,1.167,53.323748843506,-28.7247584090197,53.323727,-28.724712,53.32391,-28.724577
-530922489283267113,1598039,2.172430489374527,1.46,53.09224890342219,-28.32671136755836,53.092228,-28.326656,53.091919,-28.32674
-529674966282526821,1307953,1.443410138418317,0.471,52.96749665276566,-28.252682116977383,52.967472,-28.252638,52.967396,-28.252647
-539560437297547528,1549078,1.4965240083085625,0.353,53.95604375620128,-29.75475287842455,53.956184,-29.754856,53.956108,-29.754837
-531479250285220206,1302185,2.725131301942979,0.671,53.14792509862181,-28.522020659910048,53.147877,-28.521965,53.147728,-28.521929
-528056299282415600,1643213,0.6576194957121609,0.734,52.80562996927912,-28.241560041583508,52.805607,-28.241508,52.805611,-28.241674
-535428976284061765,1264038,4.08104136688891,0.355,53.54289769863936,-28.40617651552527,53.542889,-28.406431,53.542812,-28.406399
-536487461297139124,1433040,0.4315653231392561,0.232,53.64874610248028,-29.713912440721074,53.648689,-29.713867,53.648651,-29.713785
-536074646283083338,1590133,6.550614237109159,1.133,53.60746461552148,-28.308333899705094,53.607262,-28.308187,53.607067,-28.308249
-539457390284841860,1309293,1.4357378802743752,0.453,53.94573901154704,-28.48418608871404,53.945694,-28.484144,53.945625,-28.4842
-533660109289324645,1319926,0.4065151847895041,0.342,53.36601098693023,-28.93246459041769,53.365974,-28.932434,53.365944,-28.932509
-534994266295340422,1252142,0.1845944283930306,0.252,53.49942663256549,-29.53404227585178,53.499344,-29.534046,53.499386,-29.53405
-532019991279045006,1253972,0.6025050634143883,0.367,53.20199910695096,-27.90450063849371,53.201965,-27.904451,53.201866,-27.90443
-528840677281707890,1257587,2.698009441337327,0.57,52.88406772130927,-28.170789097479084,52.883854,-28.170618,52.884262,-28.170683
-523940248275081326,1420185,0.471489481699981,1.077,52.39402480826891,-27.50813266875599,52.394001,-27.508066,52.39428,-27.508322
-545887072288090371,1309323,0.8768275686247229,0.411,54.58870727195891,-28.80903716275204,54.588726,-28.809023,54.588749,-28.808949
-545626614291873568,1262201,0.8937264337860871,1.651,54.56266141375436,-29.187356800778613,54.562641,-29.187325,54.56258,-29.186472
-545148114276978748,1335259,1.8756143499360036,0.871,54.5148114813887,-27.6978748430102,54.514759,-27.697821,54.51461,-27.69791
-548656818292402613,1302073,0.4696550250583731,0.361,54.865681856603366,-29.24026138990428,54.865669,-29.240215,54.865692,-29.240126
-546448118291943983,1309288,0.1765377287001036,0.176,54.64481181583214,-29.194398319393542,54.64481,-29.194363,54.644871,-29.194429
